text,labels
Strong Remote Controller Interference.,Problem
Strong Remote Controller Interference.,Problem
Strong Remote Controller Interference.,Problem
Data Recorder File Index is 12.,Normal
Home Point Updated.,Normal
Home Point recorded. Return-to-Home Altitude : 98FT.,Normal
Weak signal. Avoid blocking the antennas and keep the antennas parallel to and facing toward the aircraft during flight.,Problem
Weak signal. Avoid blocking the antennas and keep the antennas parallel to and facing toward the aircraft during flight.,Problem
Strong Remote Controller Interference.,Problem
Home Point Recorded. RTH Altitude : 30m.,Normal
Tap the screen lightly to focus.,Normal
Mobile device CPU fully loaded. Related performance will be affected.,Problem
Obstacle Avoided. Revise Flight Route,Problem
Attitude is too large.,Problem
"Aircraft is in Attitude mode, so that it will not hover. Please fly with caution.",Problem
Home Point Recorded.,Normal
Taking Off.,Normal
Return-to-Home Altitude : 65FT,Normal
Home Point Recorded.,Normal
Large Wind Velocity. Fly with caution.,Problem
Landing.,Normal
Weak GPS signal. Aircraft is in Attitude mode and hovering may be unstable. Fly with caution.,Problem
Tap the screen to focus.,Normal
Obstacle Sensing will be disabled when aircraft is landing. Fly with caution.,Problem
SD card write speed is too slow. Not suitable for shooting a 4K video.,Problem
Maximum flight distance reached. Adjust the distance in MC Settings if required.,Problem
Weak signal. Avoid blocking the antennas and keep the antennas parallel to and facing toward the aircraft during flight.,Problem
High wind velocity. Ensure the aircraft remains within your line of sight and fly with caution.,Problem
Maximum flight distance reached. Adjust the distance in MC Settings if required.,Problem
Obstacle Sensing will be disabled when aircraft is landing. Fly with caution.,Problem
Backward Obstacle Sensing is not functioning.,Problem
Sensing system is blocked or too close to the obstacle.,Problem
Weak GPS signal. Aircraft is in Attitude mode and hovering may be unstable. Fly with caution.,Problem
Mobile device version too old to support HD image transmission and the image transmission mode has been switch to normal mode.,Problem
Home Point recorded. Return-to-Home Altitude : 98FT,Normal
Weak signal. Avoid blocking the antennas and keep the antennas parallel to and facing toward the aircraft during flight.,Problem
Intelligent Flight Modes have not been enabled. Enable this option in Main Controller Settings if needed.,Problem
Maximum flight distance reached. Adjust the distance in MC Settings if required.,Problem
"To take off in non-P mode, toggle Flight Mode Switch to another mode and then toggle it back.",Normal
Switched to P (Positioning)-mode.,Normal
Switched to T (Tripod)-mode.,Normal
Switched to P (Positioning)-mode.,Normal
Switched to S (Sport)-mode.,Normal
Weak signal. Avoid blocking the antennas and keep the antennas parallel to and facing toward the aircraft during flight.,Problem
Data Recorder File Index is 46.,Normal
RTH Altitude : 65FT.,Normal
Taking off.,Normal
Home Point Recorded.,Normal
Home Point Updated.,Normal
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
Large Wind Velocity.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
Landing.,Normal
Data Recorder File Index is 57.,Normal
Home Point Updated.,Normal
Obstacle Sensing will be disabled when aircraft is landing. Fly with caution.,Problem
Maximum flight distance reached. Adjust the distance in MC Settings if required.,Problem
Weak signal. Avoid blocking the antennas and keep the antennas parallel to and facing toward the aircraft during flight.,Problem
High wind velocity. Ensure the aircraft remains within your line of sight and fly with caution.,Problem
Maximum flight distance reached. Adjust the distance in MC Settings if required.,Problem
High wind velocity. Ensure the aircraft remains within your line of sight and fly with caution.,Problem
Data Recorder File Index is 45.,Normal
Home Point Updated.,Normal
Obstacle Sensing will be disabled when aircraft is landing. Fly with caution.,Problem
Tap the screen to focus.,Normal
Downlink Lost.,Problem
Data Recorder File Index is 7.,Normal
Home Point Updated.,Normal
Home Point recorded. Return-to-Home Altitude : 98FT.,Normal
"To take off in non-P mode, toggle Flight Mode Switch to another mode and then toggle it back.",Normal
Switched to P (Positioning)-mode.,Normal
Switched to T (Tripod)-mode.,Normal
Switched to P (Positioning)-mode.,Normal
Switched to S (Sport)-mode.,Normal
Weak signal. Avoid blocking the antennas and keep the antennas parallel to and facing toward the aircraft during flight.,Problem
Intelligent Flight Modes have not been enabled. Enable this option in Main Controller Settings if needed.,Problem
Maximum flight distance reached. Adjust the distance in MC Settings if required.,Problem
Weak signal. Avoid blocking the antennas and keep the antennas parallel to and facing toward the aircraft during flight.,Problem
Home Point Recorded. RTH Altitude : 30m.,Normal
Max Flight Altitude Reached. Adjust in Main Controller Settings if necessary,Problem
Home Point Recorded. RTH Altitude : 30m.,Normal
Max Flight Distance Reached. Adjust in Main Controller Settings if necessary.,Problem
Mobile device version too old to support HD image transmission and the image transmission mode has been switch to normal mode.,Problem
Intelligent Flight Modes have not been enabled. Enable this option in Main Controller Settings if needed.,Problem
Home Point recorded. Return-to-Home Altitude : 98FT,Normal
Strong Remote Controller Interference.,Problem
Data Recorder File Index is 7.,Normal
Home Point Updated.,Normal
Home Point recorded. Return-to-Home Altitude : 98FT.,Normal
Downlink Restored (after 0m 1s).,Normal
Downlink Restored (after 0m 2.3s).,Normal
Downlink Restored (after 0m 1.1s).,Normal
Downlink Restored (after 0m 1.7s).,Normal
Downlink Restored (after 0m 2.9s).,Normal
Downlink Restored (after 0m 1s).,Normal
Downlink Restored (after 0m 1s).,Normal
Downlink Lost.,Problem
Downlink Lost.,Problem
Downlink Lost.,Problem
Downlink Lost.,Problem
Downlink Lost.,Problem
Downlink Lost.,Problem
Downlink Lost.,Problem
Downlink Lost.,Problem
Strong Remote Controller Interference.,Problem
Not Allowed to change Aircraft Mode. If needed,Problem
Not Allowed to change Aircraft Mode. If needed,Problem
Home Point Recorded. RTH Altitude : 30m.,Normal
Tap the screen lightly to focus.,Normal
Tap the screen lightly to focus.,Normal
Taking Off.,Normal
Aircraft is returning to the Home Point. RTH Altitude is 30m. You can reset the RTH Altitude in Remote Controller Settings after cancelling RTH if necessary.,Normal
Data Recorder File Index is 29.,Normal
Taking Off.,Normal
Home Point Updated.,Normal
Aircraft is returning to the Home Point. RTH Altitude is 30m. You can reset the RTH Altitude in Remote Controller Settings after cancelling RTH if necessary.,Normal
Home Point Recorded. RTH Altitude : 30m.,Normal
In Flight.,Normal
In Flight.,Normal
In Flight.,Normal
In Flight.,Normal
In Flight.,Normal
In Flight.,Normal
In Flight.,Normal
Obstacle Avoidance will be disabled in landing.,Normal
Home Point Recorded. RTH Altitude : 30m.,Normal
Home Point Recorded. RTH Altitude : 30m.,Normal
Max Flight Distance Reached. Adjust in Main Controller Settings if necessary.,Problem
Max Flight Distance Reached. Adjust in Main Controller Settings if necessary.,Problem
"Aircraft is in Attitude mode, so that it will not hover. Please fly with caution.",Problem
Home Point Recorded.,Normal
Taking Off.,Normal
Return-to-Home Altitude : 65FT,Normal
Home Point Recorded.,Normal
Large Wind Velocity. Fly with caution.,Problem
Landing.,Normal
SD card write speed is too slow. Not suitable for shooting a 4K video.,Problem
Maximum flight distance reached. Adjust the distance in MC Settings if required.,Problem
Weak signal. Avoid blocking the antennas and keep the antennas parallel to and facing toward the aircraft during flight.,Problem
High wind velocity. Ensure the aircraft remains within your line of sight and fly with caution.,Problem
Maximum flight distance reached. Adjust the distance in MC Settings if required.,Problem
Obstacle Sensing will be disabled when aircraft is landing. Fly with caution.,Problem
Backward Obstacle Sensing is not functioning.,Problem
Sensing system is blocked or too close to the obstacle.,Problem
Weak GPS signal. Aircraft is in Attitude mode and hovering may be unstable. Fly with caution.,Problem
Data Recorder File Index is 46.,Normal
RTH Altitude : 65FT.,Normal
Taking off.,Normal
Home Point Recorded.,Normal
Home Point Updated.,Normal
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
Large Wind Velocity.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
Landing.,Normal
Data Recorder File Index is 57.,Normal
Home Point Updated.,Normal
Obstacle Sensing will be disabled when aircraft is landing. Fly with caution.,Problem
Maximum flight distance reached. Adjust the distance in MC Settings if required.,Problem
Weak signal. Avoid blocking the antennas and keep the antennas parallel to and facing toward the aircraft during flight.,Problem
High wind velocity. Ensure the aircraft remains within your line of sight and fly with caution.,Problem
Maximum flight distance reached. Adjust the distance in MC Settings if required.,Problem
High wind velocity. Ensure the aircraft remains within your line of sight and fly with caution.,Problem
Remote controller assisted takeoff initiated.,Normal
"To take off in non-P mode, toggle Flight Mode Switch to another mode and then toggle it back.",Normal
"To take off in non-P mode, toggle Flight Mode Switch to another mode and then toggle it back.",Normal
SD card write speed is too slow. Not suitable for shooting a 4K video.,Problem
"To take off in non-P mode, toggle Flight Mode Switch to another mode and then toggle it back.",Normal
SD card write speed is too slow. Not suitable for shooting a 4K video.,Problem
Remote controller assisted takeoff initiated.,Normal
Motor or propeller error. Check the motors and propellers.,Problem
Remote controller assisted takeoff initiated.,Normal
Home Point recorded. Return-to-Home Altitude : 98FT,Normal
High wind velocity. Fly with caution.,Problem
High wind velocity. Fly with caution.,Problem
High wind velocity. Fly with caution.,Problem
SD card write speed is too slow. Not suitable for shooting a 4K video.,Problem
High wind velocity. Fly with caution.,Problem
High wind velocity. Fly with caution.,Problem
High wind velocity. Fly with caution.,Problem
High wind velocity. Fly with caution.,Problem
Obstacle Sensing will be disabled when aircraft is landing. Fly with caution.,Problem
Data Recorder File Index is 12.,Normal
Home Point Updated.,Normal
Remote controller assisted takeoff initiated.,Normal
Data Recorder File Index is 15.,Normal
Remote controller assisted takeoff initiated.,Normal
Data Recorder File Index is 15.,Normal
Home Point Updated.,Normal
Home Point recorded. Return-to-Home Altitude : 98FT.,Normal
Remote controller assisted takeoff initiated.,Normal
SD card write speed is too slow. Not suitable for shooting a 4K video.,Problem
High wind velocity. Fly with caution.,Problem
High wind velocity. Fly with caution.,Problem
High wind velocity. Fly with caution.,Problem
High wind velocity. Fly with caution.,Problem
High wind velocity. Fly with caution.,Problem
High wind velocity. Fly with caution.,Problem
High wind velocity. Fly with caution.,Problem
Home Point Recorded. RTH Altitude : 30m.,Normal
Strong Interference to Aircraft. Signal interruption may be more likely. Fly with caution.,Problem
Strong Interference to Aircraft. Signal interruption may be more likely. Fly with caution.,Problem
Strong Interference to Aircraft. Signal interruption may be more likely. Fly with caution.,Problem
Strong Interference to Aircraft. Signal interruption may be more likely. Fly with caution.,Problem
Strong Interference to Aircraft. Signal interruption may be more likely. Fly with caution.,Problem
Fly with caution and ensure the aircraft remains within your line of sight.,Problem
The remaining battery is only enough for RTH. Return home now.,Problem
Obstacle Avoidance will be disabled in landing.,Normal
Home Point Recorded. RTH Altitude : 30m.,Normal
Home Point Recorded. RTH Altitude : 30m.,Normal
Fly with caution and ensure the aircraft remains within your line of sight.,Problem
Attitude is too large.,Problem
Attitude is too large.,Problem
Attitude is too large.,Problem
Fly with caution and ensure the aircraft remains within your line of sight.,Problem
Attitude is too large.,Problem
Attitude is too large.,Problem
Attitude is too large.,Problem
Attitude is too large.,Problem
Attitude is too large.,Problem
Attitude is too large.,Problem
High wind velocity. Fly with caution and land in a safe place ASAP.,Problem
Attitude is too large.,Problem
Attitude is too large.,Problem
Attitude is too large.,Problem
Attitude is too large.,Problem
Attitude is too large.,Problem
Attitude is too large.,Problem
Attitude is too large.,Problem
Attitude is too large.,Problem
Attitude is too large.,Problem
Attitude is too large.,Problem
Attitude is too large.,Problem
Attitude is too large.,Problem
Attitude is too large.,Problem
Attitude is too large.,Problem
Attitude is too large.,Problem
Fly with caution and ensure the aircraft remains within your line of sight.,Problem
Fly with caution and ensure the aircraft remains within your line of sight.,Problem
Attitude is too large.,Problem
Attitude is too large.,Problem
Attitude is too large.,Problem
Attitude is too large.,Problem
Attitude is too large.,Problem
Attitude is too large.,Problem
Fly with caution and ensure the aircraft remains within your line of sight.,Problem
Fly with caution and ensure the aircraft remains within your line of sight.,Problem
Obstacle Avoidance will be disabled in landing.,Normal
Satellite positioning off. Fly with Caution.,Problem
Satellite positioning off. Fly with Caution.,Problem
Satellite positioning off. Fly with Caution.,Problem
Satellite positioning off. Fly with Caution.,Problem
Taking Off.,Normal
Taking Off.,Normal
"Home Point Recorded, Return-to-Home Altitude : 98FT",Normal
"Home Point Recorded, Return-to-Home Altitude : 98FT",Normal
Tap the screen lightly to focus.,Normal
Tap the screen lightly to focus.,Normal
Ground Plain. Safe to Land.,Normal
Ground Plain. Safe to Land.,Normal
Aircraft is returning to the Home Point. Minimum RTH Altitude is 30m. You can reset the RTH Altitude in Remote Controller Settings after cancelling RTH if necessary.,Normal
Aircraft is returning to the Home Point. Minimum RTH Altitude is 30m. You can reset the RTH Altitude in Remote Controller Settings after cancelling RTH if necessary.,Normal
Descending. Exited Visual Avoidance System,Normal
Descending. Exited Visual Avoidance System,Normal
Precision Landing,Normal
Rectifying aircraft position,Normal
Precision Landing,Normal
Rectifying aircraft position,Normal
Data Recorder File Index is 7.,Normal
Taking off.,Normal
Home Point Recorded.,Normal
Return-to-Home Altitude : 98FT.,Normal
Tap the screen lightly to focus.,Normal
Tap the screen lightly to focus.,Normal
RTH : Preascending.,Normal
Aircraft is returning to the Home Point. Minimum RTH Altitude is 30m. You can reset the RTH Altitude in Remote Controller Settings after cancelling RTH if necessary.,Normal
RTH : Heading alignment.,Normal
RTH : Ascending to RTH altitude.,Normal
RTH : Cruise.,Normal
Exited Visual Avoidance System.,Normal
Precision Landing. Rectifying aircraft position.,Normal
Ground Plain. Safe to Land.,Normal
Ground Plain. Safe to Land.,Normal
Precision Landing. Rectifying aircraft position.,Normal
Taking Off.,Normal
Taking Off.,Normal
Home Point Recorded. RTH Altitude : 30m.,Normal
Tap the screen lightly to focus.,Normal
Max Flight Distance Reached. Adjust in Main Controller Settings if necessary.,Problem
Max Flight Distance Reached. Adjust in Main Controller Settings if necessary.,Problem
Max Flight Distance Reached. Adjust in Main Controller Settings if necessary.,Problem
Max Flight Distance Reached. Adjust in Main Controller Settings if necessary.,Problem
Landing.,Normal
Obstacle Avoidance will be disabled in landing.,Normal
Landing Canceled.,Normal
Max Flight Distance Reached. Adjust in Main Controller Settings if necessary.,Problem
Obstacle Avoidance will be disabled in landing.,Normal
Taking Off.,Normal
Taking Off.,Normal
Home Point Recorded. RTH Altitude : 30m.,Normal
Landing.,Normal
Obstacle Avoidance will be disabled in landing.,Normal
Ground Plain. Safe to Land.,Normal
Taking Off.,Normal
Taking Off.,Normal
Home Point Recorded. RTH Altitude : 30m.,Normal
Aircraft is returning to the Home Point. Minimum RTH Altitude is 98ft. You can reset the RTH Altitude in Remote Controller Settings after cancelling RTH.,Normal
Obstacle Avoidance will be disabled in landing.,Normal
Locating Landing Point,Normal
Landing Canceled.,Normal
Forward Obstacle Sensing not Responding,Problem
Obstacle Avoidance will be disabled in landing.,Normal
Taking Off.,Normal
Taking Off.,Normal
Home Point Recorded. RTH Altitude : 30m.,Normal
Tap the screen lightly to focus.,Normal
Max Flight Distance Reached. Adjust in Main Controller Settings if necessary.,Problem
Max Flight Distance Reached. Adjust in Main Controller Settings if necessary.,Problem
Max Flight Distance Reached. Adjust in Main Controller Settings if necessary.,Problem
Max Flight Distance Reached. Adjust in Main Controller Settings if necessary.,Problem
Landing.,Normal
Obstacle Avoidance will be disabled in landing.,Normal
Landing Canceled.,Normal
Max Flight Distance Reached. Adjust in Main Controller Settings if necessary.,Problem
Obstacle Avoidance will be disabled in landing.,Normal
Taking Off.,Normal
Taking Off.,Normal
Home Point Recorded. RTH Altitude : 30m.,Normal
Landing.,Normal
Obstacle Avoidance will be disabled in landing.,Normal
Ground Plain. Safe to Land.,Normal
Taking Off.,Normal
Taking Off.,Normal
Home Point Recorded. RTH Altitude : 30m.,Normal
Aircraft is returning to the Home Point. Minimum RTH Altitude is 98ft. You can reset the RTH Altitude in Remote Controller Settings after cancelling RTH.,Normal
Obstacle Avoidance will be disabled in landing.,Normal
Locating Landing Point,Normal
Landing Canceled.,Normal
Forward Obstacle Sensing not Responding,Problem
Obstacle Avoidance will be disabled in landing.,Normal
"Aircraft is in Attitude mode, so that it will not hover. Please fly with caution.",Problem
Home Point Recorded.,Normal
Home Point Recorded.,Normal
Return-to-Home Altitude : 65FT,Normal
Landing Gear Raising.,Normal
Landing Gear Raised.,Normal
Landing Gear Lowering.,Normal
Landing Gear Lowered.,Normal
Landing Gear Raising.,Normal
Landing Gear Paused.,Normal
"Aircraft is in Attitude mode, so that it will not hover. Please fly with caution.",Problem
Data Recorder File Index is 21.,Normal
Home Point Recorded.,Normal
Home Point Updated.,Normal
RTH Altitude : 65FT.,Normal
Landing Gear Raising.,Normal
Landing Gear Raised.,Normal
Downlink Lost.,Problem
Landing Gear Lowering.,Normal
Landing Gear Lowered.,Normal
Satellite positioning off. Fly with Caution.,Problem
Tap the screen lightly to focus.,Normal
Taking Off.,Normal
Strong Interference Now. Fly with caution.,Problem
Ground Plain. Safe to Land.,Normal
RTH : Cruise.,Normal
Taking off.,Normal
Strong Interference Now. Fly with caution.,Problem
Data Recorder File Index is 3.,Normal
Home Point Updated.,Normal
RTH : Preascending.,Normal
Aircraft is returning to the Home Point. Minimum RTH Altitude is 30m. You can reset the RTH Altitude in Remote Controller Settings after cancelling RTH if necessary.,Normal
RTH : Heading alignment.,Normal
RTH : Ascending to RTH altitude.,Normal
RTH : Cruise.,Normal
Exited Visual Avoidance System.,Normal
Precision Landing. Rectifying aircraft position.,Normal
Precision Landing. Rectifying aircraft position.,Normal
Precision Landing. Rectifying aircraft position.,Normal
Precision Landing. Rectifying aircraft position.,Normal
Precision Landing. Rectifying aircraft position.,Normal
Precision Landing. Rectifying aircraft position.,Normal
Precision Landing. Rectifying aircraft position.,Normal
Precision Landing. Rectifying aircraft position.,Normal
Precision Landing. Rectifying aircraft position.,Normal
Precision Landing. Rectifying aircraft position.,Normal
Precision Landing. Rectifying aircraft position.,Normal
Precision Landing. Rectifying aircraft position.,Normal
Precision Landing. Rectifying aircraft position.,Normal
Precision Landing. Rectifying aircraft position.,Normal
Precision Landing. Rectifying aircraft position.,Normal
Precision Landing. Rectifying aircraft position.,Normal
Precision Landing. Rectifying aircraft position.,Normal
Precision Landing. Rectifying aircraft position.,Normal
Precision Landing. Rectifying aircraft position.,Normal
Precision Landing. Rectifying aircraft position.,Normal
Precision Landing. Rectifying aircraft position.,Normal
Precision Landing. Rectifying aircraft position.,Normal
Ground Plain. Safe to Land.,Normal
Taking Off.,Normal
Taking Off.,Normal
Home Point Recorded. RTH Altitude : 30m.,Normal
Tap the screen lightly to focus.,Normal
In Flight.,Normal
In Flight.,Normal
Compass Redundancy Switch,Problem
Tap the screen lightly to focus.,Normal
Tap the screen lightly to focus.,Normal
Aircraft is returning to the Home Point. Minimum RTH Altitude is30m. You can reset the RTH Altitude in Remote Controller Settings after cancelling RTH.,Normal
Obstacle Avoidance will be disabled in landing.,Normal
Locating Landing Point,Normal
Ground Plain. Safe to Land.,Normal
"Aircraft is in Attitude mode, so that it will not hover. Please fly with caution.",Problem
Home Point Recorded.,Normal
Taking Off.,Normal
Return-to-Home Altitude : 65FT,Normal
Home Point Recorded.,Normal
Large Wind Velocity. Fly with caution.,Problem
Landing.,Normal
Weak GPS signal. Aircraft is in Attitude mode and hovering may be unstable. Fly with caution.,Problem
Tap the screen to focus.,Normal
Obstacle Sensing will be disabled when aircraft is landing. Fly with caution.,Problem
SD card write speed is too slow. Not suitable for shooting a 4K video.,Problem
Maximum flight distance reached. Adjust the distance in MC Settings if required.,Problem
Weak signal. Avoid blocking the antennas and keep the antennas parallel to and facing toward the aircraft during flight.,Problem
High wind velocity. Ensure the aircraft remains within your line of sight and fly with caution.,Problem
Maximum flight distance reached. Adjust the distance in MC Settings if required.,Problem
Obstacle Sensing will be disabled when aircraft is landing. Fly with caution.,Problem
Backward Obstacle Sensing is not functioning.,Problem
Sensing system is blocked or too close to the obstacle.,Problem
Weak GPS signal. Aircraft is in Attitude mode and hovering may be unstable. Fly with caution.,Problem
Data Recorder File Index is 46.,Normal
RTH Altitude : 65FT.,Normal
Taking off.,Normal
Home Point Recorded.,Normal
Home Point Updated.,Normal
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
Large Wind Velocity.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
Landing.,Normal
Data Recorder File Index is 57.,Normal
Home Point Updated.,Normal
Obstacle Sensing will be disabled when aircraft is landing. Fly with caution.,Problem
Maximum flight distance reached. Adjust the distance in MC Settings if required.,Problem
Weak signal. Avoid blocking the antennas and keep the antennas parallel to and facing toward the aircraft during flight.,Problem
High wind velocity. Ensure the aircraft remains within your line of sight and fly with caution.,Problem
Maximum flight distance reached. Adjust the distance in MC Settings if required.,Problem
High wind velocity. Ensure the aircraft remains within your line of sight and fly with caution.,Problem
Data Recorder File Index is 45.,Normal
Home Point Updated.,Normal
Obstacle Sensing will be disabled when aircraft is landing. Fly with caution.,Problem
Tap the screen to focus.,Normal
Downlink Lost.,Problem
Forward Obstacle Sensing not Working.,Problem
Ambient Light too Weak,Problem
Satellite positioning off. Fly with Caution.,Problem
Satellite positioning off. Fly with Caution.,Problem
Satellite positioning off. Fly with Caution.,Problem
Satellite positioning off. Fly with Caution.,Problem
Satellite positioning off. Fly with Caution.,Problem
Taking Off.,Normal
"Home Point Recorded, Return-to-Home Altitude : 98FT",Normal
Tap the screen lightly to focus.,Normal
Tap the screen lightly to focus.,Normal
Tap the screen lightly to focus.,Normal
Aircraft is returning to the Home Point. Minimum RTH Altitude is 30m. You can reset the RTH Altitude in Remote Controller Settings after cancelling RTH if necessary.,Normal
Descending. Exited Visual Avoidance System,Normal
Ground Plain. Safe to Land.,Normal
Precision Landing,Normal
Rectifying aircraft position,Normal
Precision Landing,Normal
Rectifying aircraft position,Normal
Precision Landing,Normal
Rectifying aircraft position,Normal
Precision Landing,Normal
Rectifying aircraft position,Normal
Data Recorder File Index is 5.,Normal
Taking off.,Normal
Home Point Recorded.,Normal
Return-to-Home Altitude : 98FT.,Normal
Home Point Updated.,Normal
Tap the screen lightly to focus.,Normal
Tap the screen lightly to focus.,Normal
Tap the screen lightly to focus.,Normal
Aircraft is returning to the Home Point. Minimum RTH Altitude is 30m. You can reset the RTH Altitude in Remote Controller Settings after cancelling RTH if necessary.,Normal
RTH : Heading alignment.,Normal
RTH : Ascending to RTH altitude.,Normal
RTH : Cruise.,Normal
Exited Visual Avoidance System.,Normal
Precision Landing. Rectifying aircraft position.,Normal
Precision Landing. Rectifying aircraft position.,Normal
Precision Landing. Rectifying aircraft position.,Normal
Precision Landing. Rectifying aircraft position.,Normal
Precision Landing. Rectifying aircraft position.,Normal
Precision Landing. Rectifying aircraft position.,Normal
Precision Landing. Rectifying aircraft position.,Normal
Precision Landing. Rectifying aircraft position.,Normal
Precision Landing. Rectifying aircraft position.,Normal
Precision Landing. Rectifying aircraft position.,Normal
Ground Plain. Safe to Land.,Normal
Precision Landing. Rectifying aircraft position.,Normal
Taking Off.,Normal
Taking Off.,Normal
Home Point Recorded. RTH Altitude : 30m.,Normal
Tap the screen lightly to focus.,Normal
Obstacle Avoided. Revise Flight Route,Problem
Obstacle Avoidance will be disabled in landing.,Normal
